University,Major,Application Completed,Decision ,Result,GRE_Quant,GRE_Verbal,GRE_Total,GRE_AWA,TOEFL,IELTS,UG_Score,Scale
Arizona State University,Computer Information Systems,2/24/2015,2/24/2015,Admit,133,133,266,4,100,0,5,10
University of North Carolina at Charlotte,Computer Engineering,12/27/2014,2/13/2015,Admit,158,146,304,3,92,0,7.45,10
NONE OF THE ABOVE,Computer Engineering,12/20/2014,2/25/2015,Admit,160,152,312,3.5,105,0,7.68,10
NONE OF THE ABOVE,Computer Science,02-01-2015,02-06-2015,Admit,168,162,330,3.5,111,0,7.182,10
University of Texas at Arlington,Computer Science,12/26/2014,02-12-2015,Admit,158,143,301,3,78,6.5,7,10
University of Central Florida,Computer Science,12/26/2014,1/22/2015,Admit,158,143,301,3,78,6.5,7,10
Illinois Institute of Technology Chicago,Computer Science,12/26/2014,02-12-2015,Admit,158,143,301,3,78,6.5,7,10
University of Illinois Chicago,Management Information Systems,12-04-2014,02-04-2015,Admit,161,149,310,3,104,0,8.2,10
University of Illinois Chicago,Computer Engineering,11-09-2014,02-01-2015,Admit,166,145,311,3,87,0,8.1,10
University of Illinois Springfield,Management Information Systems,12/13/2014,2/25/2015,Admit,149,143,292,4,102,0,6.08,10
University of Houston Clear Lake,Computer Engineering,12-04-2014,1/29/2015,Admit,151,139,290,2,72,6,7.3,10
New York Institute of Technology,Computer Information Systems,01-02-2015,2/13/2015,Admit,151,139,290,2,72,6,7.3,10
University of California - Los Angeles,Computer Engineering,12/28/2014,02-07-2015,Admit,161,145,306,3,89,0,7.2,10
Binghamton University - SUNY,Computer Engineering,01-01-2015,02-11-2015,Admit,161,145,306,3,89,0,7.2,10
San Jose State University,Software Engineering,01-05-2015,2/28/2015,Admit,162,150,312,3,105,0,8.17,10
University of Southern California,Computer Science,12-03-2014,2/14/2015,Admit,166,151,317,4,112,0,9.1,10
Kent State University,Computer Science,11/25/2014,1/31/2015,Admit,150,150,300,3,85,0,7.2,10
Florida International University Miami,Computer Science,11/25/2014,2/27/2014,Admit,150,140,290,3,85,0,7.2,10
University of Illinois Chicago,Management Information Systems,11-08-2014,01-08-2015,Admit,161,150,311,4.5,104,0,6.22,10
George Mason University,Management Information Systems,11/13/2014,02-11-2015,Admit,161,150,311,4.5,104,0,6.22,10
University of Illinois Chicago,Computer Science,11/13/2014,1/27/2015,Admit,159,150,309,4.5,110,0,7,10
University of Texas at Dallas,Computer Science,11-10-2014,12-06-2014,Admit,159,150,309,4.5,110,0,7,10
University of Colorado - Boulder,Telecommunication & Networking,12/16/2014,2/24/2015,Admit,157,150,307,4,107,0,8.73,10
Syracuse University,Telecommunication & Networking,12/16/2014,02-07-2015,Admit,157,150,307,4,107,0,8.73,10
University of Texas at Arlington,Computer Science,01-05-2015,2/26/2015,Admit,164,146,310,3.5,112,0,7.3,10
Texas A&M University Kingsville,Computer Science,1/30/2015,2/23/2015,Admit,153,143,296,3,78,6.5,6.92,10
University of Illinois Springfield,Computer Science,01-08-2015,03-01-2015,Admit,149,143,292,2,82,0,6.98,10
Arkansas State University,Computer Science,12/15/2014,2/27/2015,Admit,150,140,290,2.5,78,6.5,6.98,10
University of Kansas,Computer Science,12/17/2014,02-03-2015,Admit,148,138,286,2.5,92,0,6.5,10
University of Central Missouri,Computer Information Systems,01-01-2015,02-06-2015,Admit,156,143,299,2.5,90,7.5,5.7,10
SUNY - New Platz,Computer Science,12-01-2014,02-10-2015,Admit,154,142,296,3,72,6,7.9,10
Illinois Institute of Technology Chicago,Computer Science,01-02-2015,2/28/2015,Admit,155,146,301,3,91,0,7.05,10
University of Houston Clear Lake,Computer Engineering,1/19/2015,2/15/2015,Admit,159,145,304,2.5,72,6,6.6,10
Wright State University,Computer Science,1/13/2015,02-11-2015,Admit,159,145,304,2.5,72,6,6.6,10
Wayne State University,Computer Science,01-08-2015,03-02-2015,Admit,153,140,293,2.5,83,0,7.1,10
California State University Fullerton,Computer Science,11-07-2014,2/26/2015,Admit,158,144,302,3.5,92,0,8.11,10
University of Southern California,Management of Technology,12-09-2014,2/19/2015,Admit,159,148,307,4,99,0,9.17,10
NONE OF THE ABOVE,Information Systems,10/30/2014,1/27/2015,Admit,154,156,310,5,105,0,7,10
Illinois Institute of Technology Chicago,Computer Science,02-06-2015,03-02-2015,Admit,162,145,307,3,91,0,8.48,10
NONE OF THE ABOVE,Robotics,12-10-2014,2/25/2015,Admit,166,143,309,3,84,7,8.01,10
University of North Carolina at Charlotte,Computer Science,12-10-2014,02-02-2015,Admit,168,146,314,3,94,0,8.66,10
Northeastern University,Management Information Systems,1/14/2015,2/17/2015,Admit,159,148,307,3.5,99,0,6.6,10
San Jose State University,Software Engineering,1/15/2015,2/28/2015,Admit,161,155,316,4,101,0,6.4,10
NONE OF THE ABOVE,Computer Science,12-12-2014,03-02-2015,Admit,160,148,308,3,96,8,8.2,10
NONE OF THE ABOVE,Computer Science,12-01-2014,03-02-2015,Admit,160,146,306,3,97,0,8.03,10
University of Colorado - Denver,Information Technology,03-03-2015,03-03-2015,Admit,140,139,279,2,66,5.5,6.8,10
University of Houston Clear Lake,Computer Science,12-10-2014,02-07-2015,Admit,153,141,294,3,72,6,7.8,10
University of Central Missouri,Computer Information Systems,03-02-2015,3/24/2015,Admit,149,136,285,2.5,72,6,7.006,10
Northwestern Polytechnic University,Computer Science,05-04-2015,05-04-2015,Admit,136,130,266,0.5,66,5.5,6.8,10
Northern Illinois University,Computer Science,1/22/2015,03-04-2015,Admit,156,142,298,3,86,0,8.2,10
University of New Orleans,Computer Science,1/13/2015,03-05-2015,Admit,154,136,290,3,79,0,6.2,10
University of Texas at Dallas,Computer Science,09-01-2015,2/19/2015,Admit,159,150,309,3,95,0,7.2,10
Indiana university - Bloomington,Data Science,01-02-2015,2/27/2015,Admit,160,143,303,3.5,105,0,7.9,10
University of Colorado - Boulder,Telecommunication & Networking,12/16/2014,2/24/2015,Admit,157,150,307,4,107,0,8.73,10
Syracuse University,Telecommunication & Networking,12/16/2014,02-07-2015,Admit,157,150,307,4,107,0,8.73,10
Wright State University,Computer Science,1/21/2015,2/27/2015,Admit,166,139,305,3,95,0,8.46,10
University of Illinois Springfield,Computer Science,1/21/2015,03-06-2015,Admit,150,139,289,3,78,6.5,7.18,10
Indiana University - Bloomington,Computer Science,12/18/2014,03-06-2015,Admit,161,161,322,4.5,99,0,6.08,10
California State University Fullerton,Computer Science,01-12-2015,03-06-2015,Admit,156,141,297,3,89,0,8.46,10
University of Dayton,Computer Science,11/20/2014,01-12-2015,Admit,148,137,285,3,78,6.5,7.18,10
University of Illinois Springfield,Computer Science,11-06-2014,2/19/2015,Admit,148,137,285,3,78,6.5,6.08,10
University of Louisiana at Lafayette,Computer Science,1/23/2015,04-06-2015,Admit,162,140,302,3,78,6.5,7,10
University of Missouri Kansas City,Computer Science,12-06-2014,03-01-2015,Admit,163,137,300,2,78,6.5,7.5,10
Rochester Institute of Technology,Computer Science,1/26/2015,2/27/2015,Admit,170,153,323,3,107,0,7.6,10
University of California - Santa Cruz,Computer Engineering,01-03-2015,2/25/2015,Admit,161,148,309,3.5,109,0,7.18,10
Kent State University,Computer Science,###############################################################################################################################################################################################################################################################,1/31/2015,Admit,150,140,290,3.5,85,0,6.08,10
Florida Institute of Technology,Computer Information Systems,1/26/2015,03-10-2015,Admit,149,143,292,4,102,0,6.08,10
University of Central Missouri,Computer Science,1/14/2015,03-10-2015,Admit,147,137,284,1.5,66,5.5,7.3,10
University of North Carolina at Charlotte,Information Technology,12/20/2014,03-10-2015,Admit,151,152,303,3.5,106,0,8.3,10
Missouri University of Science & Technology,Computer Engineering,1/19/2015,03-06-2015,Admit,162,145,307,3.5,94,0,7.57,10
University of North Carolina at Charlotte,Information Technology Management,12/23/2014,03-11-2015,Admit,153,141,294,3,83,0,7.44,10
University of Tennessee Chattanooga,Computer Science,01-08-2015,03-11-2015,Admit,149,143,292,2,82,0,8.62,10
NorthWest Missouri State University,Applied CS,12/13/2014,1/20/2015,Admit,153,141,294,2.5,84,7,8.51,10
Texas A&M University Kingsville,Computer Science,12/13/2014,1/26/2015,Admit,153,141,294,2.5,84,7,8.7,10
University of Michigan Dearborn,Computer Science,12/13/2014,03-09-2015,Admit,153,141,294,2.5,84,7,6.08,10
University of Central Missouri,Computer Science,1/22/0015,3/13/0015,Admit,148,144,292,2.5,72,6,7.6,10
North Carolina State University,Computer Science,11/15/2014,3/17/2015,Admit,168,152,320,3,113,0,7.3,10
Middle Tennessee State University,Information Systems,01-08-2015,3/14/2015,Admit,149,143,292,2,82,0,6.08,10
New Jersey Institute of Technology,Information Systems,12/14/2014,3/16/2015,Admit,149,143,292,4,102,0,6.08,10
University of Missouri Kansas City,Computer Science,12-03-2014,3/16/2015,Admit,160,139,299,2.5,93,0,7.44,10
Arizona State University,Computer Science,11/30/2014,3/15/2014,Admit,167,148,315,4,94,0,7.57,10
Arizona State University,Computer Science,11/26/2014,3/14/2015,Admit,161,153,314,3.5,101,0,7.44,10
University of Texas at Dallas,Computer Science,01-12-2015,03-11-2015,Admit,168,153,321,3,99,0,8.62,10
Indiana University - Bloomington,Computer Science,11/30/2014,03-07-2015,Admit,168,152,320,4,105,0,8.51,10
Indiana University - Bloomington,Computer Science,01-01-2015,03-07-2015,Admit,164,153,317,3.5,104,0,7.5,10
University of Texas at Dallas,Computer Science,01-08-2015,03-11-2015,Admit,164,153,317,3.5,104,0,7.5,10
Old Dominion University,Computer Science,1/21/2015,07-09-2015,Admit,162,140,302,3,78,6.5,7,10
Rochester Institute of Technology,Computer Science,1/20/2015,3/13/2015,Admit,157,149,306,3,103,0,5.8,10
Illinois Institute of Technology Chicago,Computer Science,01-06-2015,3/19/2015,Admit,162,140,302,3,78,6.5,7,10
Rochester Institute of Technology,Human Computer Interaction,1/14/2015,3/20/2015,Admit,151,146,297,3.5,103,0,8.7,10
Texas A&M International University - Laredo,Information Systems,1/13/2015,3/24/2015,Admit,149,143,292,4,102,0,6.08,10
University of Illinois Springfield,Computer Science,1/29/2015,02-10-2015,Admit,148,138,286,3,92,0,6.5,10
Cleveland State University,Computer Information Systems,2/18/2015,3/25/2015,Admit,158,140,298,3,91,0,6.8,10
University of North Carolina at Charlotte,Computer Science,01-12-2015,3/26/2015,Admit,162,141,303,3.5,88,0,8,10
Texas A&M University Kingsville,Computer Science,01-01-2015,03-03-2015,Admit,154,141,295,3.5,78,6.5,6.4,10
Northern Illinois University,Computer Science,01-01-2015,3/20/2015,Admit,154,141,295,3.5,78,6.5,6.4,10
Illinois Institute of Technology Chicago,Computer Science,12/20/2014,03-06-2015,Admit,156,144,300,4,87,0,6.5,10
Northeastern University,Information Systems,11/15/2014,2/28/2015,Admit,158,145,303,3.5,92,0,7.67,10
Kansas State University,Computer Science,12/30/2014,1/27/2015,Admit,160,147,307,3.5,92,0,7.492,10
University of North Carolina at Charlotte,Computer Science,01-03-2015,3/27/2015,Admit,161,139,300,2.5,86,0,9,10
University of South Florida,Computer Science,1/25/2015,05-03-2015,Admit,161,139,300,2.5,86,0,9,10
University of Central Missouri,Computer Science,02-06-2015,3/16/2015,Admit,158,142,300,3,81,0,7.19,10
Murray State University,Information Systems,1/20/2015,03-03-2015,Admit,159,137,296,2,72,6,7.851,10
University of Houston Clear Lake,Computer Science,12/24/2014,03-06-2015,Admit,159,137,296,2,72,6,7.851,10
Rutgers State University - New Brunswick,Computer Science,12-07-2014,3/20/2015,Admit,168,152,320,4,105,0,8.51,10
University of Southern California,Computer Science,01-06-2015,3/26/2015,Admit,162,148,310,4,107,0,9.15,10
Texas A&M University Kingsville,Computer Science,12-04-2014,03-01-2015,Admit,145,133,278,2.5,79,0,5.2,10
University of Central Missouri,Computer Science,1/27/2015,3/26/2015,Admit,151,140,291,2,72,6,6.561,10
University of Massachusetts Dartmouth,Computer Science,1/15/2015,3/22/2015,Admit,155,138,293,3,78,6.5,6.02,10
Kent State University,Computer Science,1/20/2015,3/29/2015,Admit,157,141,298,4,92,0,7.6,10
Valparaiso University,Information Technology,1/27/2015,03-07-2015,Admit,157,141,298,4,92,0,7.6,10
Binghamton University - SUNY,Computer Science,12/30/2014,03-12-2015,Admit,161,146,307,4,103,0,7.012,10
University of Michigan - Flint,Computer Science,1/27/2015,3/20/2015,Admit,157,141,298,4,92,0,7.6,10
Michigan Technological University,Computer Science,11/24/2014,3/29/2015,Admit,161,146,307,4,103,0,7.012,10
California State University East Bay,Computer Science,02-03-2015,3/24/2015,Admit,161,144,305,3,82,0,8.68,10
Illinois Institute of Technology Chicago,Computer Science,02-04-2015,3/24/2015,Admit,161,144,305,3,82,0,8.68,10
Washington University in St. Louis,Computer Engineering,12/22/2014,04-02-2015,Admit,160,152,312,3.5,105,0,7.68,10
Rochester Institute of Technology,Computer Science,10/30/2014,2/27/2015,Admit,155,154,309,3.5,103,0,7.6,10
North Carolina State University,Operations Research,12-09-2014,02-10-2015,Admit,170,150,320,3.5,94,0,7.4,10
Northeastern University,Operations Research,11/27/2014,3/15/2015,Admit,170,150,320,3.5,94,0,7.4,10
Missouri University of Science & Technology,Computer Science,2/19/2015,3/13/2015,Admit,167,144,311,3,96,0,5.88,10
Arizona State University,Computer Science,11/30/2014,3/27/2015,Admit,162,145,307,3,95,0,8.13,10
Syracuse University,Computer Science,12-05-2014,3/24/2015,Admit,162,145,307,3,78,6.5,8.52,10
Illinois Institute of Technology Chicago,Computer Science,12-03-2014,02-03-2015,Admit,162,145,307,3,78,6.5,8.52,10
Rochester Institute of Technology,Computer Science,12-03-2014,02-02-2015,Admit,162,145,307,3,78,6.5,8.52,10
University of Texas at Dallas,Computer Science,12-03-2014,3/15/2015,Admit,162,145,307,3,78,6.5,8.52,10
University of Central Missouri,Computer Science,11-02-2014,1/15/2015,Admit,153,139,292,2,72,6,6.7,10
Texas A&M Commerce,Computer Science,01-05-2015,1/19/2015,Admit,153,139,292,2,72,6,6.7,10
Texas A&M University Kingsville,Computer Networks,8/27/2014,1/13/2015,Admit,152,141,293,2.5,78,6.5,7.89,10
New Jersey Institute of Technology,Computer Networks,8/27/2014,01-05-2015,Admit,152,141,293,2.5,78,6.5,7.89,10
Texas A&M University Kingsville,Computer Science,11/20/2014,02-01-2015,Admit,160,141,301,2.5,78,6.5,7.25,10
University of Houston Clear Lake,Computer Science,11/20/2014,02-05-2015,Admit,160,141,301,2.5,78,6.5,7.25,10
University of Wisconsin - Madison,Computer Science,12-01-2014,2/14/2015,Admit,165,162,327,5.5,114,0,9.75,10
Rutgers State University - New Brunswick,Computer Science,01-12-2015,04-07-2015,Admit,165,148,313,3.5,91,0,6.2,10
Michigan Technological University,Computer Engineering,02-05-2015,4/25/2015,Admit,167,146,313,3.5,102,0,6.87,10
Wright State University,Computer Science,10/31/2014,11-10-2014,Admit,156,141,297,3,78,6.5,7.4,10
Oklahoma State University,Computer Science,10/31/2014,04-10-2015,Admit,156,141,297,3,78,6.5,7.4,10
Northern Illinois University,Computer Science,10/31/2014,03-10-2015,Admit,156,141,297,3,78,6.5,7.4,10
Southern Illinois University Carbondale,Computer Science,10/31/2014,3/25/2015,Admit,156,141,297,3,78,6.5,7.4,10
University of Georgia-Athens,Computer Science,12/24/2014,2/24/2015,Admit,161,142,303,3,91,0,9.53,10
SUNY Korea,Computer Engineering,01-01-2015,04-06-2015,Admit,150,150,300,4,100,0,7.8,10
Wayne State University,Computer Engineering,3/16/2015,3/26/2015,Admit,137,149,286,3,78,6.5,6.5,10
Pennsylvania State University,Computer Engineering,11/17/2014,4/17/2015,Admit,164,146,310,3.5,101,0,9.6,10
Santa Clara University,Information Systems,3/13/2015,3/25/2015,Admit,158,145,303,2.5,95,0,5,10
University of Dayton,Computer Science,11-05-2014,01-12-2015,Admit,148,137,285,3,78,6.5,7.37,10
Indiana University - Purdue Univsersity,Computer Science,11-06-2014,3/27/2015,Admit,148,137,285,3,78,6.5,7.37,10
University of Wisconsin - Madison,Computer Science,11/23/2014,04-01-2015,Admit,169,148,317,4,100,0,8,10
Arizona State University,Computer Science,11/20/2014,3/21/2015,Admit,159,149,308,3.5,99,0,8.68,10
San Jose State University,Software Engineering,12/19/2014,4/14/2015,Admit,159,145,304,3,83,0,5.4,10
North Carolina State University,Computer Engineering,12/14/2014,04-02-2015,Admit,167,153,320,3.5,110,0,8.85,10
North Carolina State University,Computer Science,11/30/2014,04-04-2015,Admit,162,158,320,3.5,112,0,9.69,10
North Carolina State University,Computer Science,12-05-2014,03-11-2015,Admit,170,148,318,3.5,112,0,8.23,10
"Indiana University, Bloomington",Computer Science,12/31/2014,03-07-2015,Admit,164,152,316,4,102,0,7.2,10
University of South Carolina,Computer Science,12/31/2014,2/19/2015,Admit,164,152,316,4,102,0,7.2,10
University of Houston Clear Lake,Applied CS,1/15/2015,3/19/2015,Admit,153,144,297,3,78,6.5,6.58,10
Rutgers State University - New Brunswick,Computer Engineering,11/28/2014,04-07-2015,Admit,164,151,315,3,100,0,8.5,10
University of Illinois Chicago,Computer Science,02-04-2015,4/14/2015,Admit,168,152,320,4,96,0,7.86,10
University of Florida,Computer Science,01-03-2015,4/14/2015,Admit,168,152,320,4,96,0,7.86,10
Binghamton University - SUNY,Computer Science,11/25/2014,04-02-2015,Admit,160,143,303,3,84,7,8.4,10
George Mason University,Computer Science,01-01-2015,04-01-2015,Admit,157,152,309,3,92,0,6,10
University of Texas at Arlington,Computer Science,3/20/2015,4/14/2015,Admit,161,139,300,2,84,0,7,10
Ferris State University,Computer Science,12/18/2015,4/14/2015,Admit,161,142,303,3,91,0,9.53,10
University of Illinois Chicago,Computer Science,12/21/2015,4/13/2015,Admit,161,142,303,3,91,0,9.53,10
"University at Albany, SUNY",Computer Science,11/19/2014,02-11-2015,Admit,162,147,309,3,96,0,7.3,10
University of Texas at Arlington,Computer Science,01-04-2015,02-12-2015,Admit,159,146,305,4,113,0,6.6,10
University Of Central Florida,Computer Science,12/28/2014,2/16/2015,Admit,159,146,305,4,113,0,6.6,10
Illinois Institute of Technology Chicago,Computer Science,1/15/2015,02-05-2015,Admit,161,142,303,3,88,0,8.5,10
University of North Carolina at Charlotte,Computer Science,1/16/2015,03-05-2015,Admit,161,142,303,3,88,0,8.5,10
Arizona State University,Computer Science,11/22/2014,3/20/2015,Admit,165,159,324,4,110,0,6.1,10
University of Texas at Dallas,Telecommunication & Networking,1/24/2015,04-09-2015,Admit,160,140,300,3,90,0,7.71,10
Binghamton University - SUNY,Computer Science,12-05-2014,04-03-2015,Admit,161,139,300,3,88,0,8.78,10
Wright State University,Computer Science,11-01-2014,02-05-2015,Admit,163,143,306,3.5,97,0,9.21,10
Univeristy of New Orleans,Computer Science,12-02-2014,03-10-2015,Admit,163,143,306,3.5,97,0,9.21,10
San Diego State University,Computer Science,01-10-2015,2/20/2015,Admit,160,140,300,3,84,0,7,10
New York Institute of Technology,Computer Science,2/20/2015,04-12-2015,Admit,160,141,301,3,93,0,7.4,10
New York Institute of Technology,Computer Science,2/20/2015,04-12-2015,Admit,160,141,301,3,93,0,7.4,10
New York Institute of Technology,Computer Science,2/20/2015,04-12-2015,Admit,160,141,301,3,93,0,7.4,10
University of Southern California,Computer Science,12/31/2014,04-12-2015,Admit,160,150,310,3,92,0,7.9,10
Texas a&m university-corpus christi,Computer Science,11/20/2014,03-12-2015,Admit,166,142,308,2.5,91,0,7.37,10
Sacred Heart University,Computer Science,03-02-2015,4/16/2015,Admit,157,130,287,3,78,6.5,7.32,10
University of Southern California,Computer Science,12-02-2014,2/26/2015,Admit,166,147,313,3.5,98,0,9.05,10
Northeastern University,Computer Science ALIGN,2/18/2015,4/16/2015,Admit,161,158,319,3.5,102,0,6.39,10
Rochester Institute of Technology,Computer Science,11/26/2014,2/27/2015,Admit,161,151,312,3.5,102,0,6.21,10
California State University Long Beach,Computer Science,1/31/2015,4/21/2015,Admit,159,144,303,3,80,0,7,10
"University at Albany , SUNY",Computer Science,1/31/2015,04-01-2015,Admit,159,144,303,3,80,0,7,10
Rutgers State University - New Brunswick,Computer Engineering,11/28/2014,04-07-2015,Admit,164,151,315,3,100,0,8.5,10
SUNY Buffalo,Computer Engineering,11/30/2014,04-10-2015,Admit,164,151,315,3,100,0,8.5,10
San Jose State University,Software Engineering,12/13/2014,4/15/2015,Admit,163,141,304,3,87,0,8.1,10
University of Missouri Kansas City,Computer Science,01-09-2015,4/20/2015,Admit,163,141,304,3,87,0,8.1,10
Syracuse University,Computer Engineering,01-10-2015,3/15/2015,Admit,158,155,313,3,92,0,7.1,10
Arizona State University,Computer Science,11/29/2014,3/27/2015,Admit,152,145,297,3,95,0,8.1,10
Wright State University,Computer Science,02-10-2015,04-03-2015,Admit,156,144,300,3,88,0,7.2,10
Syracuse University,Computer Engineering,1/30/2015,4/15/2015,Admit,164,148,312,3,101,0,7.89,10
University of Texas at Dallas,Computer Science,2/13/2015,4/17/2015,Admit,164,148,312,3,101,0,7.89,10
California State University East Bay,Management Information Systems,01-05-2015,2/27/2015,Admit,156,141,297,3,72,6,7.1,10
University of Illinois Springfield,Management Information Systems,01-05-2015,3/17/2015,Admit,156,141,297,3,72,6,7.1,10
California State University East Bay,Computer Networks,01-05-2015,2/27/2015,Admit,156,141,297,3,72,6,7.1,10
Bradley University,Computer Information Systems,2/16/2015,03-03-2015,Admit,156,141,297,3,72,6,7.1,10
University of Southern California,Computer Science,12/14/2014,04-04-2015,Admit,168,161,329,4,113,0,8.99,10
California State University East Bay,Computer Networks,01-05-2015,2/27/2015,Admit,156,141,297,3,78,6.5,7.1,10
University of Illinois Springfield,Management Information Systems,01-05-2015,3/18/2015,Admit,156,141,297,3,78,6.5,7.1,10
Bradley University,Computer Information Systems,02-09-2015,03-09-2015,Admit,156,141,297,3,78,6.5,7.1,10
George Mason University,Computer Science,02-10-2015,05-05-2015,Admit,161,148,309,3,84,7,6,10
NYU Polytechnic School of Engineering,Computer Science,01-07-2015,05-07-2015,Admit,161,146,307,3,89,0,6.9,10
University of Southern California,Computer Science,12/13/2014,05-12-2015,Admit,167,154,321,4,97,0,8.81,10
University of North Carolina at Charlotte,Computer Science,11-08-2014,1/23/2015,Admit,162,145,307,2.5,90,0,7.9,10
Florida State University,Computer Science,11-08-2014,4/23/2015,Admit,162,145,307,2.5,90,0,7.9,10
Oklahoma State University,Computer Science,11-08-2014,05-01-2015,Admit,162,145,307,2.5,90,0,7.9,10
Wright State University,Computer Science,11-08-2015,11/17/2014,Admit,162,145,307,2.5,90,0,7.9,10
University of Southern California,Data Science,12-01-2014,4/18/2015,Admit,157,142,299,3,94,0,8.1,10
Clemson University,Computer Science,12/28/2014,03-10-2015,Admit,160,146,306,3,95,0,8.06,10
SUNY Buffalo,Computer Science,12/26/2014,3/15/2015,Admit,170,156,326,4,101,0,6.5,10
University of Texas at Dallas,Computer Science,12/29/2014,04-01-2015,Admit,170,156,326,4,101,0,6.5,10
Rochester Institute of Technology,Computer Science,12/29/2014,3/27/2015,Admit,170,156,326,4,101,0,6.5,10
